timeStamp,averageExecutionTime,medianOfFlowDuration,maxFlowDuration,flowDurationList,avgCpuByProcess,medianOfCpuByProcess,maxCpuByProcess,cpuByProcessList,avgDiskByProcess,medianOfDiskByProcess,maxDiskByProcess,diskByProcessList,avgMemByProcess,medianOfMemByProcess,maxMemByProcess,memByProcessList,percentageHeap,medianOfHeap,maxHeap,percentHeapList,percentageWorkerThreads,medianOfWorkerThreads,maxWorkerThreads,percentWorkerThreadsList,avgInBufferSize,medianOfInBuffer,maxInBuffer,inBufferSizeList,percentageOutBuffer,medianOfOutBuffer,maxOutBuffer,percentOutBufferList,avgSystemCpuJmx,medianOfSystemCpu,maxSystemCpu,systemCpuJmxList
Jan 10-- 2021 9:15:32 AM,12966,13078,14719,14719;13078;13672;12126;11235;,0.112634573,0.124,0.17,0.1092260856108677;0.12353175828438517;0.15970646606623912;0.17013610921985559;5.724473220331046E-4;,323019041.4,3.23E+08,323020917,323020917;323019354;323018833;323018312;323017791;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.184841231,0.224,0.325,0.2554077362030569;0.3245863434169461;0.09598108017307773;0.22382205427882493;0.024408942817873043;,2,2,2,2.0;2.0;2.0;2.0;2.0;,0,0,0,0;0;0;0;0;,1.245333333,2.027,2.107,0.02666666666666667;2.106666666666667;2.0266666666666664;2.0266666666666664;0.04;,0.113166624,0.119,0.175,0.10934549395867632;0.11894290098652129;0.16081515183817563;0.17529441578358385;0.0014351581737815922;
Jan 10-- 2021 10:00:16 AM,12150.6,11829,13391,13266;11829;10532;13391;11735;,0.111258431,0.138,0.158,0.10703425759446372;0.13787605655030938;0.15288396582320168;0.1576202130713878;8.776617805529996E-4;,323024147.2,3.23E+08,323025606,323025606;323024564;323024043;323023522;323023001;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.196522214,0.168,0.342,0.1683658401249434;0.2133725508438494;0.10313261542145295;0.15589656567268784;0.34184349912967543;,2,2,2,2.0;2.0;2.0;2.0;2.0;,0,0,0,0;0;0;0;0;,1.658666667,2.027,4.04,0.05333333333333334;0.06666666666666667;4.04;2.0266666666666664;2.106666666666667;,0.110290026,0.137,0.16,0.11640956064683629;0.13676235709501172;0.15968813029549578;0.1368358972166619;0.001754184212589882;
Jan 10-- 2021 10:01:55 AM,13150.4,13845,14594,14594;13845;14360;13250;9703;,0.17395532,0.208,0.222,0.18856740664698599;0.22046478079850015;0.20834518585946224;0.22231672789316156;0.030082500004262824;,323029461.4,3.23E+08,323030816,323030816;323030295;323029253;323028732;323028211;,52,52,52,52.0;52.0;52.0;52.0;52.0;,0.169524758,0.178,0.339,0.17836349632339468;0.33850935520957354;0.20580086905957;0.05098076253680497;0.07396930548267426;,3,3,3,3.0;3.0;3.0;3.0;3.0;,0.2,0,1,1;0;0;0;0;,1.274666667,0.107,4.04,0.10666666666666667;4.04;0.09333333333333334;0.09333333333333334;2.04;,0.176757544,0.21,0.228,0.1985885535090306;0.2164285809390769;0.21002448139271923;0.22774186535050944;0.031004239691382773;
Jan 10-- 2021 10:03:56 AM,13566,13610,14188,13610;14188;12844;13391;13797;,0.234492583,0.261,0.308,0.3084422506340378;0.23552775902134276;0.2614078610704061;0.2679579439696172;0.2893546198579508;0.23800844627449094;0.04074919758676247;,323034984,3.23E+08,323036547,323036547;323036026;323035505;323034984;323034463;323033942;323033421;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;52.0;,0.201747393,0.239,0.321,0.28046812213182537;0.06476824013161088;0.1540136703600101;0.2530563272135053;0.3212400482209765;0.09959610869960005;0.23908923355676476;,4.285714286,4,6,4.0;6.0;4.0;4.0;4.0;4.0;4.0;,0,0,0,0;0;0;0;0;0;0;,0.84,0.267,3.027,0.26666666666666666;0.26666666666666666;3.026666666666667;2.04;0.04;0.08;0.16;,0.234361624,0.257,0.308,0.3084400480316922;0.23597092805271735;0.25705134222095116;0.26589034622606844;0.287360886499909;0.24397321048113485;0.041844605429279265;
Jan 10-- 2021 10:05:52 AM,13694.4,13438,14828,14518;12985;13438;14828;12703;,0.257938492,0.295,0.314,0.293011262335781;0.2705949019938888;0.3140254098307941;0.2967264581396176;0.30941216692399054;0.0638607507835613;,323041149.2,3.23E+08,323042799,323042799;323042278;323041236;323040715;323040194;323039673;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;,0.211631675,0.222,0.345,0.31847118623185866;0.15339040756225586;0.29061448429301473;0.09142932537319935;0.34529180498929485;0.07059284297994464;,5,5,5,5.0;5.0;5.0;5.0;5.0;5.0;,0,0,0,0;0;0;0;0;0;,1.075555556,0.1,4.067,0.05333333333333334;0.10666666666666667;0.09333333333333334;0.05333333333333334;4.066666666666666;2.08;,0.260198213,0.302,0.319,0.30259890338475426;0.27025738379102726;0.3039966269749149;0.3004997573195325;0.3186890491901553;0.06514755704269337;
Jan 10-- 2021 10:07:50 AM,13272.8,13206,14459,12107;14459;13206;13060;13532;,0.318032011,0.342,0.479,0.47886758475235136;0.29654342516338555;0.341858696673291;0.34128875137530834;0.3786791649498404;0.0709544435977457;,323046706.5,3.23E+08,323048009,323048009;323047488;323046967;323046446;323045925;323045404;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;,0.254235147,0.24,0.331,0.2282278090458934;0.2918557895671653;0.19360954443740774;0.2373906885984602;0.24330805752515983;0.3310189910903683;,6,6,6,6.0;6.0;6.0;6.0;6.0;6.0;,0,0,0,0;0;0;0;0;0;,0.448888889,0.147,2.08,0.14666666666666667;0.14666666666666667;0.06666666666666667;2.08;0.08;0.17333333333333334;,0.31957326,0.34,0.481,0.4806399131196738;0.3034440139632024;0.3282860179998123;0.3510065320949831;0.38222776795740165;0.07183531655458297;
Jan 10-- 2021 10:09:44 AM,11269.6,11386,11992,11992;11040;11510;11386;10420;,0.271867793,0.325,0.351,0.35143828498842483;0.3064011434177029;0.3433142954163861;0.08631744839895308;,323052046.8,3.23E+08,323053219,323053219;323052177;323051656;323051135;,52,52,52,52.0;52.0;52.0;52.0;,0.233429805,0.238,0.3,0.1885221047217624;0.2995910475874079;0.2877044733960337;0.15790159383696037;,7.25,7,8,7.0;8.0;7.0;7.0;,0,0,0,0;0;0;0;,1.603333333,2.093,2.107,0.12;2.0933333333333337;2.0933333333333337;2.106666666666667;,0.271289155,0.325,0.349,0.3488472370783625;0.3031636277465126;0.34597665289714724;0.08716910147001145;
Jan 10-- 2021 10:11:27 AM,14219,14007,14985,13765;14007;14476;14985;13862;,0.334512132,0.374,0.463,0.463008222990091;0.3851186376732672;0.3847971167154462;0.36283265646250035;0.3002244332569229;0.11109172682618551;,323057213.3,3.23E+08,323058950,323058950;323057908;323057387;323056866;323056345;323055824;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;,0.393268527,0.444,0.476,0.47564830304889066;0.24022017309270755;0.2878334534684;0.4676327466100727;0.4212015912013589;0.4670748962615871;,8.5,8.5,9,8.0;8.0;9.0;9.0;8.0;9.0;,0,0,0,0;0;0;0;0;0;,1.513333333,1.273,4.107,0.12;0.17333333333333334;4.1066666666666665;2.106666666666667;0.44;2.1333333333333333;,0.338144877,0.374,0.47,0.4703892076716464;0.3854785281205009;0.386540735198158;0.3620524721538456;0.3118312531636489;0.11257706280653522;
Jan 10-- 2021 10:13:27 AM,14709.6,14457,16208,14154;16208;14247;14457;14482;,0.304811438,0.357,0.407,0.37799730986874513;0.34985429729210865;0.36508800665453206;0.40671348033803534;0.23377561473758962;0.09543991996020688;,323062857.5,3.23E+08,323064160,323064160;323063639;323063118;323062597;323062076;323061555;,52,52,52,52.0;52.0;52.0;52.0;52.0;52.0;,0.376714467,0.372,0.532,0.2752486716821588;0.5320207586569066;0.37284588867997753;0.3708625456638124;0.275837652946965;0.43347128365928955;,9.5,9.5,10,9.0;10.0;10.0;10.0;9.0;9.0;,0.166666667,0,1,0;0;1;0;0;0;,0.824444444,0.607,2.093,0.12;0.8;2.0933333333333337;1.3733333333333333;0.14666666666666667;0.41333333333333333;,0.310466126,0.364,0.397,0.38100439246793966;0.3568854960899033;0.3717041818896584;0.3967778627015133;0.26013871379751863;0.09628610822782635;
Jan 10-- 2021 10:15:23 AM,12324.2,12803,14676,14676;14100;12803;9618;10424;,0.330500558,0.412,0.453,0.41201716264453764;0.4529402561219953;0.12654425650400108;,323068154.3,3.23E+08,323069370,323069370;323067807;323067286;,52,52,52,52.0;52.0;52.0;,0.485536238,0.518,0.535,0.5346872014552172;0.5179570122537911;0.40396449958255143;,10,10,10,10.0;10.0;10.0;,0,0,0,0;0;0;,0.835555556,0.227,2.147,0.13333333333333333;0.22666666666666668;2.1466666666666665;,0.337810886,0.414,0.473,0.4135143346404979;0.47257088001275543;0.1273474438287745;
